Aisle ID,Product family,Items considered,Avg length (in),SD of length (in),Max length (in),Min length (in),Avg width  (in),SD of width (in),Max width (in),Min width (in),Avg height (in),SD of height (in),Max height (in),Min height (in),Avg weight (lbs),SD of weight (lbs),Max weight (lbs),Min weight (lbs),Avg price (USD),SD of price (USD),Max price (USD),Min price (USD)
84,Milk,25,7.8676,3.695675716,14.53,3.0,5.9416,2.435387854,12.32,2.8,7.8292,2.20351976,10.0,3.19,5.1372,3.545635251,12.48,0.75,7.604,8.443325174,29.95,1.79
85,Food storage,5,8.06,4.366692112,15.0,3.0,5.16,2.345847395,8.0,2.5,3.654,2.117446575,5.88,1.2,2.62675,2.18027729,6.27,0.64375,13.792,6.981011388,24.99,7.54
86,Eggs,21,7.801904762,4.64168032,18.1,2.75,6.229047619,3.8085350260000004,15.2,2.2,4.561428571,3.027382179,14.9,0.75,3.276011905,9.578833015,45.0,0.076875,5.815,2.102816738,9.99,2.79
87,More household,5,10.312000000000001,1.2467838629999999,12.5,9.45,6.562,3.3278100910000004,12.5,4.84,14.282,24.12440922,57.35,1.5,1.148,0.686673139,2.16,0.26,23.465,9.944973605,29.99,8.99
88,Spreads,23,5.036521738999999,3.0907980860000004,12.5,2.25,3.901304348,1.4665274519999998,8.19,2.25,3.9721739130000002,1.690443612,8.0,1.5,1.233043478,1.210197781,4.4,0.38,12.79928571,8.802070966,33.83,4.99
89,Salad dressing toppings,25,6.3996,3.080410525,13.54,2.0,3.8528,2.34588029,9.49,1.7,6.0568,2.783773997,9.55,1.3,2.169025,2.284406585,8.07,0.075625,14.796,10.23979461,32.99,2.52
90,Cocoa drink mixes,23,6.795217391,2.424850266,11.97,2.5,5.455217391000001,1.892064456,10.83,2.15,4.911304348,1.941249139,8.5,1.0,0.886820652,0.751793875,2.67,0.053125,19.065,7.246132302,29.36,13.99
91,Soy lactosefree,25,8.1364,3.5902911669999997,14.75,1.0,5.8232,2.3005356619999997,10.0,1.0,4.5228,2.127284106,8.75,0.8,4.82415,7.201027912000001,26.85,0.249375,37.90846154,27.926875,121.96,14.99
92,Baby food formula,25,9.1404,4.688154825,17.56,4.15,7.7892,2.556868071,11.68,4.15,6.452000000000001,1.668062749,12.5,4.5,4.47005,4.607945248,14.2,0.000625,132.1507692,96.69928278,258.5,18.18
93,Breakfast bakery,22,7.615,3.294650426,12.9,2.25,7.059090909,2.4487351630000003,14.25,2.25,4.982727273,2.577017807,11.5,1.63,1.24,0.845465848,3.3,0.515625,9.135333333,7.777670296,34.86,2.99
94,Tea,25,8.1672,5.033509809,23.19,1.0,5.984,3.157629649,12.64,1.0,3.68,1.875659884,6.93,0.5,0.8148,1.260614667,6.04,0.00625,16.71333333,11.31874699,29.75,9.39
95,Canned meat seafood,23,17.52086957,39.24852747,196.85,3.1,14.71478261,39.799562,196.85,1.5,11.42391304,40.45169147,196.85,0.9,1.40451087,2.281297042,9.0,0.000625,21.73,16.45973268,40.49,9.71
96,Lunch meat,24,6.099166667,3.4812527939999995,10.16,0.5,5.225416667,1.59333934,8.4,0.5,3.5125,3.624892502,11.86,0.01,0.41002604200000003,0.284574105,1.06,0.025,10.66,8.360602665,32.97,5.99
97,Baking supplies decor,2,6.61,2.107178208,8.1,5.12,4.35,2.474873734,6.1,2.6,1.18,0.8909545440000001,1.81,0.55,0.7653125,0.430893195,1.07,0.460625,24.88,#DIV/0!,24.88,24.88
98,Juice nectars,24,12.94083333,3.7616935560000004,18.2,2.75,8.444583332999999,2.55671831,13.5,3.25,5.01875,1.8552611730000002,9.5,2.69,2.50328125,4.205471956,17.76,0.000625,31.92333333,10.52482304,50.0,24.0
99,Canned fruit applesauce,23,12.5473913,2.886958477,20.0,8.2,8.432173913,2.21832852,14.0,3.75,5.74,1.543149083,10.0,3.43,5.713641303999999,10.83541623,47.0,0.06625,34.51166667,24.82837684,82.5,11.64
100,Missing,5,9.01,2.494473892,12.38,6.5,5.696000000000001,2.132751744,8.11,2.99,4.02,2.179483884,7.0,2.18,3.6025,3.79899082,10.25,0.7725,14.59,9.889388252,29.99,4.99
101,Air fresheners candles,9,5.6733333329999995,3.311989583,11.42,3.25,3.853333333,3.220283373,10.59,0.01,2.585555556,1.08604916,3.94,0.47,0.6835416670000001,1.2212249309999998,3.92,0.090625,14.2575,8.898903959,25.95,4.29
102,Baby bath body care,23,5.220869565,2.8672823889999997,9.63,1.72,4.212173913,2.438667588,9.56,1.1,5.679565217,3.198898217,9.5,0.51,0.986304348,0.827874853,3.13,0.000625,20.8175,16.07778669,35.0,5.45
103,Ice cream toppings,24,5.56875,2.422076566,10.16,1.7,3.969583333,2.397307329,7.76,1.0,4.716666667,2.200771933,8.4,1.3,1.4072135419999998,1.6881485269999998,5.63,0.17,16.146,14.05258474,44.28,2.79
104,Spices seasonings,25,5.9504,4.0058743119999995,15.55,1.88,4.7484,2.8444678469999998,11.54,1.77,4.546,2.013090493,8.4,1.73,1.591075,2.157733167,8.71,0.014375,20.12285714,15.46222894,44.99,4.99
105,Doughs gelatins bake mixes,25,5.3692,2.82243382,8.94,1.46,5.138,1.379688975,6.81,1.5,4.0544,2.8686612439999997,9.1,1.02,0.8726,0.682277696,2.6,0.004375,9.28,6.660945879,13.99,4.57
106,Hot dogs bacon sausage,11,6.598181818,3.335742251,11.94,0.39,3.981818182,1.8325600569999998,6.81,0.39,3.8172727269999998,3.316824056,8.5,0.39,1.547670455,2.824335294,10.0,0.200625,47.72625,36.55384636,105.6,9.99
107,Chips pretzels,24,8.501666667,4.118348832,15.35,1.3,7.388333332999999,2.418176939,12.13,1.0,5.9233333329999995,3.071857768,13.5,0.85,1.130208333,0.9200669659999999,3.25,0.039375,16.0,4.923279733,24.99,6.99
108,Other creams cheeses,20,7.4775,4.618180178,17.0,1.18,5.2355,2.9909820160000002,12.13,1.25,2.938,1.4913314430000002,5.83,0.31,0.8141875,0.8861531220000001,3.86,0.039375,18.256875,18.58345562,62.88,2.79
109,Skin care,25,3.5808,2.440049385,8.0,0.04,2.7392,1.527334061,5.59,0.75,3.7292,2.393705148,9.81,0.28,0.3243,0.37619779700000006,1.21,0.00625,23.65,17.46956067,52.99,9.98
110,Pickled goods olives,24,9.260416667000001,3.688419573,15.94,2.5,6.73125,2.6997847139999998,14.3,2.99,4.822916667,1.9693222830000001,12.0,1.57,2.471145833,2.846829076,13.14,0.000625,28.43714286,13.49640603,63.27,12.42
111,Plates bowls cups flatware,4,7.5175,3.709774252,12.5,3.59,5.8175,2.9149656939999997,10.0,3.59,2.2725,1.79290035,4.83,0.96,0.998125,0.722678395,1.98,0.2625,11.3325,4.516181093,17.99,7.99
112,Bread,17,6.462352941,4.442609776,19.6,1.25,5.7623529410000005,3.111696743,14.7,1.0,5.3564705880000005,3.0317320569999997,9.75,0.5,1.2804411759999998,0.639198861,3.0,0.01,11.97625,13.39860584,42.99,3.29
113,Frozen juice,23,5.920434782999999,3.9672860869999997,16.57,2.3,4.76173913,2.934172722,14.1,2.3,8.589565217,1.684076435,10.61,4.57,3.4320923910000003,2.219777256,7.74,0.1475,7.362777778,10.82194601,49.9,2.29
114,Cleaning products,22,6.319090909,4.018351841,15.0,1.0,4.725454545,2.728616826,12.0,1.5,7.879090908999999,3.8694812119999997,16.81,0.75,2.074119318,2.318772427,8.84,0.03,18.104,12.54179732,29.95,4.09
